Date;Contract_Identifier;Tx_Count;Balance
8/20/2018; 0x848c71ffe323898b03f58c66c9d14766ea4c1da3;1; 0 Ether
8/20/2018; 0xcd496684213098be41f89730ddf2718ec234d61e;4; 0 Ether
8/20/2018; 0xf18432ef894ef4b2a5726f933718f5a8cf9ff831;3; 0 Ether
8/20/2018; 0x241ba672574a78a3a604cdd0a94429a73a84a324;6; 0 Ether
8/20/2018; 0x129bc997c3448515d36c83382eaae2454b0884b6;7; 0 Ether
8/20/2018; 0xa8106238a1a1545046e5a69ca5848c37b746c557;2; 0 Ether
8/20/2018; 0xb6d204c5a89a5f7516629f37915e8becc7f680db;1; 0 Ether
8/20/2018; 0xe9e046192a2ff2c2e4d1fe6ae6579279d50a83d3;2; 0.00253509 Ether
8/20/2018; 0x558aad36b5698db2a7e01a6b60d4cd4d5241b01b;1; 0 Ether
8/20/2018; 0x6319f08d5e1fac49e3d8d9c6ef1906e8446184a2;2; 0 Ether
8/20/2018; 0x5c921ea0305206b8fe09d94f01e70a6ab4177710;2; 0 Ether
8/20/2018; 0x8fbc31c70f6f3cc24d417df9e287806ac6f2ceb0;5; 0 Ether
8/20/2018; 0x3110694ec930249738083266b22ca4c6f7d0b270;1; 0 Ether
8/20/2018; 0xdd97b81d4ecf1269b00c71643840c1d927abb15a;1; 0 Ether
8/20/2018; 0x5376b34b5304f634da47f54809f4ff8090fe66b6;3; 0 Ether
8/20/2018; 0x2b62678782b76a2436137f1c7d7dcb90bcb11c52;3; 0 Ether
8/20/2018; 0xB217cF9Ba6C0A87dE419e95435F722A6FB9b92e6;7; 0 Ether
8/20/2018; 0xBd6ceb311557f3b2f1a138f8D8FBfCA05A6b61e2;2; 0 Ether
8/20/2018; 0x9291bE1e406C8E36F1Db5cfc4776f9b38148d9BE;2; 0 Ether
8/20/2018; 0xF6739B829001Eb92605c36bA0BfEfd7Dad202251;1; 0 Ether
8/20/2018; 0x1720db04cff1b232626ad8e67858715ea6e333a7;3; 0 Ether
8/20/2018; 0x1bd638b7e61db79bde3233c113ebd87e17e16de4;2; 0 Ether
8/20/2018; 0xc4c73bde86fb52045ce07f199c489dc085e9017f;1; 0 Ether
8/20/2018; 0x66fc757433782a20a7a6b6c2b9b1c5240fc5384c;0; 0 Ether
8/20/2018; 0x05ca268db7beee6791c2145653f2083ac56fe232;2; 0 Ether
8/20/2018; 0x96582a2d6eeaf802d2fc3e5bc6886fafc0eb793e;1; 0 Ether
8/20/2018; 0x95abb5bddb8b8fcb620efcd4b99dfccc7f1b7d30;1; 0 Ether
8/20/2018; 0x4198f7c7390db297c696ec234495787f09dfa85e;1; 0 Ether
8/20/2018; 0x1a5e8ace39857ff6882518cea475da59729ebb9b;4; 0 Ether
8/20/2018; 0xac235a0b6718ebf3a1beadfbfc1198364d2c682a;3; 0 Ether
8/20/2018; 0x4ba0d338a7c41cc12778e0a2fa6df2361e8d8465;6; 1.5 Ether
8/20/2018; 0x99c47b2d6c734383c1322fb0d892153d832ba6e3;3; 0 Ether
8/20/2018; 0x968815CD73647C3af02a740a2438D6f8219e7534;4; 0 Ether
8/20/2018; 0x2aa9b144e9f29efa8c1652615885c7ec3015e25e;4; 0 Ether
8/20/2018; 0xac65db070322e9aba7d2175897345f57dba0fb3d;2; 0 Ether
8/20/2018; 0x48e18ddad6c56062630092ddbd9003704c44acf0;4; 0 Ether
8/20/2018; 0xad20515052548b45e8bbd6dc7f64cd15a27bf669;1; 0 Ether
8/20/2018; 0xbb7927938b3e65671f6630b8c2d0957ba0bd6676;1; 0 Ether
8/20/2018; 0x4916a03bd197604f39802d960625d17530620cd6;2; 0 Ether
8/20/2018; 0x42b5dbf2da50f43956c527d8d4da1e413f950853;7; 0 Ether
8/20/2018; 0x4452f5d69366dc105cd0dacdd2c2f4ad2acf4e91;1; 0 Ether
8/20/2018; 0x8bEa25aA3949A905776B7AF103d18B058235190b;8; 0 Ether
8/20/2018; 0x16bd300a087b59b32e793481ded742b91ec528e6;3; 0 Ether
8/20/2018; 0xdcf67546f2253c9c90c2b55447e1efecebcf83d6;1; 0 Ether
8/20/2018; 0xf688b76988ae1230470b6bc4f43d2983928cc59d;0; 0 Ether
8/20/2018; 0x4185bf06f956286ce1c6d75fa1bd56b0e96b3edd;2; 0 Ether
8/20/2018; 0x54fafe3442d050c022b7818e50ab448303e47d30;1; 0 Ether
